name,Sampling day?,Julian_Day,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Auburn, Alabama",No,21027,1/27/2021,16.7,6.2,12.7,16.7,3,12.4,9.7,82.9,0.41,100,20.83,rain,0,0,56.4,31.5,177.5,1019,74,16,69.3,5.9,5,,2021-01-27 6:39:27,2021-01-27 17:10:28,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KALX,TKGA1,KAUO,72026563833,72225013829,KLSF,72225593842,AU556,TKSA1,72228403892,KCSG"
"Auburn, Alabama",Yes,21028,1/28/2021,10,1.2,5.2,10,-3.1,1.7,-2.1,60.5,0,0,0,,0,0,46.4,27.7,336,1031.7,20.4,16,145,12.5,6,,2021-01-28 6:38:53,2021-01-28 17:11:25,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KALX,TKGA1,KAUO,72225013829,KLSF,72225593842,AU556,72228403892,KCSG,TKSA1"
"Auburn, Alabama",,21029,1/29/2021,14.4,-0.7,5.4,14.4,-4.8,4,-4.4,52.9,0,0,0,,0,0,,12.9,229.5,1029,0.1,15.9,136.5,11.8,6,,2021-01-29 6:38:17,2021-01-29 17:12:22,0.51,Clear,Clear conditions throughout the day.,clear-day,"KALX,TKGA1,KAUO,72225013829,KLSF,72225593842,AU556,TKSA1,72228403892,KCSG"
"Auburn, Alabama",,21030,1/30/2021,14.4,-0.4,8.1,14.4,-0.4,7.3,0.3,59.4,0,0,0,,0,0,40.7,20.5,96,1024,3.5,16,89.1,7.8,4,,2021-01-30 6:37:40,2021-01-30 17:13:19,0.52,Clear,Clear conditions throughout the day.,clear-day,"KALX,TKGA1,KAUO,72026563833,72225013829,KLSF,72225593842,AU556,TKSA1,72228403892,KCSG"
"Auburn, Alabama",,21031,1/31/2021,18.3,8.4,14,18.3,4.4,13.9,12.1,88.7,6.59,100,50,rain,0,0,57.2,31.6,226.2,1012.7,31.2,13.8,36.7,3.1,2,,2021-01-31 6:37:01,2021-01-31 17:14:15,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KALX,TKGA1,KAUO,72026563833,72225013829,KLSF,72225593842,AU556,72228403892,KCSG,TKSA1"
"Auburn, Alabama",,21032,2/1/2021,7.2,2.2,3.7,3.5,-4,-1.2,-0.7,73,0,0,0,,0,0,49,35.1,317.5,1017.8,75.2,16,20.7,1.8,1,,2021-02-01 6:36:21,2021-02-01 17:15:12,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KALX,TKGA1,KAUO,72026563833,72225013829,KLSF,72225593842,AU556,MRSA1,TKSA1,72228403892,KCSG"
"Auburn, Alabama",,21033,2/2/2021,8.9,-1.6,3.3,5.4,-6.1,-0.8,-5.2,56.3,0,0,0,,0,0,42.5,29.4,321.1,1020,3.8,15.8,152.1,13.1,6,,2021-02-02 6:35:39,2021-02-02 17:16:08,0.63,Clear,Clear conditions throughout the day.,clear-day,"KALX,TKGA1,KAUO,72026563833,72225013829,KLSF,72225593842,AU556,72228403892,KCSG,TKSA1"
"Auburn, Alabama",,21034,2/3/2021,11.7,-2.8,3.7,11.7,-6.7,1.5,-5.9,53.3,0,0,0,,0,0,35.3,18.4,300.3,1021.6,0,16,154.3,13.1,6,,2021-02-03 6:34:56,2021-02-03 17:17:04,0.68,Clear,Clear conditions throughout the day.,clear-day,"TKGA1,KAUO,72225013829,KLSF,72225593842,AU556,TKSA1,72228403892,KCSG"
"Auburn, Alabama",,21035,2/4/2021,12.9,0,7,12.9,-1.7,6.3,-1.5,56.3,0,0,0,,0,0,35.3,25.8,113.8,1017.9,11,15.8,72.1,6.2,3,,2021-02-04 6:34:11,2021-02-04 17:18:00,0.74,Clear,Clear conditions throughout the day.,clear-day,"KALX,TKGA1,KAUO,72026563833,72225013829,KLSF,72225593842,AU556,72228403892,KCSG,TKSA1"
"Auburn, Alabama",,21036,2/5/2021,12.9,7.8,10.4,12.9,5.8,10,3.1,64.7,3.86,100,25,rain,0,0,42.5,25.8,277.3,1015.3,37.2,15.6,86.3,7.3,4,,2021-02-05 6:33:25,2021-02-05 17:18:56,0.8,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"KALX,TKGA1,KAUO,72026563833,72225013829,KLSF,72225593842,AU556,MRSA1,TKSA1,72228403892,KCSG"
"Auburn, Alabama",,21037,2/6/2021,8.9,3.9,5.9,7.2,-1.2,3.4,1.9,77.9,5.07,100,29.17,rain,0,0,35.3,27.4,61.9,1018,56.1,14.8,32.7,2.7,2,,2021-02-06 6:32:38,2021-02-06 17:19:52,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TKGA1,KAUO,72225013829,KLSF,72225593842,AU556,MRSA1,TKSA1,72228403892,KCSG"
"Auburn, Alabama",,21038,2/7/2021,11.2,4.3,6.5,11.2,0.8,4.7,3.4,81.8,0.3,100,4.17,rain,0,0,29.5,18.3,224.1,1018.9,41.6,14.9,105.6,9.1,5,,2021-02-07 6:31:49,2021-02-07 17:20:47,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"TKGA1,KAUO,72225013829,KLSF,72225593842,AU556,MRSA1,TKSA1,72228403892,KCSG"
"Auburn, Alabama",,21039,2/8/2021,15,1.7,9.1,15,-0.6,8.3,3.6,70.5,0,0,0,,0,0,31.7,20.5,91.2,1024.9,0.2,16,145.2,12.4,6,,2021-02-08 6:30:59,2021-02-08 17:21:42,0.94,Clear,Clear conditions throughout the day.,clear-day,"TKGA1,KAUO,72225013829,KLSF,72225593842,AU556,MRSA1,TKSA1,72228403892,KCSG"
"Auburn, Alabama",,21040,2/9/2021,18.8,11.1,14,18.8,11.1,14,12,88.3,7.63,100,25,rain,0,0,35.3,18,150,1022.4,71.4,12.3,74.3,6.5,3,,2021-02-09 6:30:08,2021-02-09 17:22:36,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KALX,TKGA1,KAUO,72026563833,72225013829,KLSF,72225593842,MRSA1,TKSA1,72228403892,KCSG"
"Auburn, Alabama",,21041,2/10/2021,20,11,15,20,11,15,13.4,90.8,0,0,0,,0,0,,14.6,81.5,1021.7,44.4,10.4,69.5,6.2,3,,2021-02-10 6:29:15,2021-02-10 17:23:31,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KALX,TKGA1,72026563833,KAUO,72225013829,KLSF,72225593842,AU556,MRSA1,TKSA1,KCSG,72228403892"
"Auburn, Alabama",,21042,2/11/2021,20,13.8,16,20,13.8,16,15.5,97.2,18.22,100,33.33,rain,0,0,,12.9,180.3,1017.6,74,8.9,48.5,4,3,,2021-02-11 6:28:21,2021-02-11 17:24:25,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KALX,TKGA1,KAUO,72026563833,72225013829,KLSF,72225593842,AU556,MRSA1,72228403892,KCSG,TKSA1"
"Auburn, Alabama",,21043,2/12/2021,15,8.4,12.9,15,6,12.6,12.6,98.2,0.63,100,16.67,rain,0,0,,14.8,173.6,1018.2,95.3,7.5,33.5,2.9,2,,2021-02-12 6:27:26,2021-02-12 17:25:18,0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"TKGA1,KAUO,72225013829,KLSF,72225593842,AU556,MRSA1,TKSA1,72228403892,KCSG"
"Auburn, Alabama",,21044,2/13/2021,9.3,6.5,7.9,8.3,4.6,6.1,6.5,91.1,23.06,100,50,rain,0,0,,14.7,55.8,1015.5,99.2,13.1,50.1,4.4,2,,2021-02-13 6:26:30,2021-02-13 17:26:12,0.02,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KALX,TKGA1,72026563833,72225593842,72036363872,TKSA1,KCSG,KAUO,72225013829,KLSF,AU556,MRSA1,72228403892"
"Auburn, Alabama",,21045,2/14/2021,9.8,6.6,7.8,8.5,4.6,6.2,6.3,90,2.73,100,25,rain,0,0,,12.8,33.7,1016.3,100,12.4,56,4.8,3,,2021-02-14 6:25:32,2021-02-14 17:27:05,0.04,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KALX,TKGA1,72026563833,72225013829,KLSF,72225593842,AU556,MRSA1,TKSA1,KCSG"
"Auburn, Alabama",,21046,2/15/2021,11.7,3.6,8.1,11.7,0,6.7,7.2,93.6,17.53,100,33.33,rain,0,0,38.9,20.1,133.3,1012.3,99.5,9.6,24.8,2.2,1,,2021-02-15 6:24:34,2021-02-15 17:27:57,0.07,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KALX,TKGA1,72026563833,72225013829,KLSF,72225593842,AU556,MRSA1,TKSA1,KCSG"
"Auburn, Alabama",,21047,2/16/2021,2.4,-4.1,-1.3,-1.7,-9.9,-5.7,-5.6,73.3,0,0,0,,0,0,34.5,23.4,299,1019.7,57.8,15.3,113.6,9.7,6,,2021-02-16 6:23:34,2021-02-16 17:28:50,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KALX,TKGA1,72026563833,72225013829,KLSF,72225593842,AU556,MRSA1,TKSA1,KCSG"
"Auburn, Alabama",,21048,2/17/2021,13.2,-4.9,4.6,13.2,-8.2,3.3,-4,57.3,0.98,100,16.67,rain,0,0,33.5,16.6,123.1,1020.6,34.2,15.7,178.7,15.3,7,,2021-02-17 6:22:33,2021-02-17 17:29:42,0.14,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"KALX,TKGA1,72026563833,72225013829,KLSF,72225593842,AU556,MRSA1,KCSG,TKSA1"
"Auburn, Alabama",,21049,2/18/2021,9.3,7,8.2,8.1,4.5,6.4,6.8,90.9,13.26,100,66.67,rain,0,0,29.5,13,96.4,1016.5,99.7,12.8,29.2,2.5,1,,2021-02-18 6:21:32,2021-02-18 17:30:33,0.19,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KALX,TKGA1,72026563833,72225013829,KLSF,72225593842,AU556,MRSA1,KCSG,TKSA1"
"Auburn, Alabama",,21050,2/19/2021,10.6,2.6,6.2,10.6,-0.9,3.6,0.5,69.2,0.17,100,4.17,rain,0,0,33.6,20.6,331.7,1022,53.6,15.8,126.7,10.8,7,,2021-02-19 6:20:29,2021-02-19 17:31:24,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KALX,TKGA1,72026563833,72225013829,KLSF,72225593842,72036363872,AU556,MRSA1,TKSA1,KCSG"
"Auburn, Alabama",,21051,2/20/2021,14.3,-1.9,5.6,14.3,-2.6,5,-6.1,49.9,0,0,0,,0,0,29.5,12.6,187.9,1028.3,0,15.9,202.1,17.6,8,,2021-02-20 6:19:25,2021-02-20 17:32:15,0.28,Clear,Clear conditions throughout the day.,clear-day,"KALX,TKGA1,72026563833,72225593842,72036363872,MRSA1,TKSA1,KCSG"
"Auburn, Alabama",,21052,2/21/2021,17.4,-0.3,9.2,17.4,-0.3,9,-1.2,53.4,0,0,0,,0,0,37.1,22.6,91.4,1027.9,25.7,15.4,202.2,17.6,8,,2021-02-21 6:18:20,2021-02-21 17:33:06,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KALX,TKGA1,72026563833,72225013829,KLSF,72225593842,72036363872,MRSA1,TKSA1,KCSG"
"Auburn, Alabama",,21053,2/22/2021,19.8,7.1,13.4,19.8,7.1,13.4,7.6,69.6,1.76,100,20.83,rain,0,0,36.4,23.8,240.4,1019.8,64,15.2,107.8,9.3,6,,2021-02-22 6:17:15,2021-02-22 17:33:56,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KALX,TKGA1,72026563833,72225013829,KLSF,72225593842,AU556,TKSA1,KCSG"
"Auburn, Alabama",,21054,2/23/2021,21.9,0.7,11,21.9,0.7,11,-0.4,53,0,0,0,,0,0,29.5,14.5,170.1,1019.5,0,15.3,206.6,17.9,8,,2021-02-23 6:16:08,2021-02-23 17:34:45,0.42,Clear,Clear conditions throughout the day.,clear-day,"KALX,TKGA1,72026563833,72225013829,KLSF,72225593842,TKSA1,KCSG"
"Auburn, Alabama",,21055,2/24/2021,22.7,1.5,12.8,22.7,1.5,12.8,0.9,52.2,0,0,0,,0,0,30.2,20.4,122.9,1020,0,16,209.4,18.1,8,,2021-02-24 6:15:01,2021-02-24 17:35:35,0.45,Clear,Clear conditions throughout the day.,clear-day,"KALX,TKGA1,72026563833,KAUO,72225013829,KLSF,72225593842,TKSA1,KCSG,72228403892"
"Auburn, Alabama",,21056,2/25/2021,25,11.1,17.5,25,11.1,17.5,9.7,63,0,0,0,,0,0,,12.8,207.3,1022.9,18.6,15.6,180.7,15.7,7,,2021-02-25 6:13:53,2021-02-25 17:36:24,0.48,Clear,Clear conditions throughout the day.,clear-day,"TKGA1,KAUO,72225013829,KLSF,72225593842,72228403892,KCSG,TKSA1"
"Auburn, Alabama",,21057,2/26/2021,22.9,14.3,18.6,22.9,14.3,18.6,13.2,71.9,0.01,100,4.17,rain,0,0,31.7,20.4,150.7,1021.2,73.2,16,86.8,7.5,5,,2021-02-26 6:12:44,2021-02-26 17:37:12,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"TKGA1,KAUO,72225013829,KLSF,72225593842,TKSA1,72228403892,KCSG"
"Auburn, Alabama",,21058,2/27/2021,22.9,13.8,18,22.9,13.8,18,16.3,90.9,0,0,0,,0,0,29.5,22.1,150.5,1023.3,55.9,13.5,99.9,8.6,4,,2021-02-27 6:11:34,2021-02-27 17:38:01,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"TKGA1,KAUO,72225013829,KLSF,72225593842,AU556,TKSA1,72228403892,KCSG"
"Auburn, Alabama",,21059,2/28/2021,26.7,17.2,21,27.3,17.2,21,17.2,80.8,0,0,0,,0,0,44.6,31.5,187.1,1021,63,15.1,128.2,11.2,5,,2021-02-28 6:10:24,2021-02-28 17:38:49,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KALX,TKGA1,KAUO,72026563833,72225013829,KLSF,72225593842,TKSA1,72228403892,KCSG"
"Auburn, Alabama",,21060,3/1/2021,20,10.7,16.5,20,10.7,16.5,13.4,82.2,1.28,100,4.17,rain,0,0,45.1,24.1,224.9,1020.9,99.5,15.8,37.6,3.1,1,,2021-03-01 6:09:13,2021-03-01 17:39:36,0.53,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"TKGA1,KAUO,72225013829,KLSF,72225593842,TKSA1,72228403892,KCSG"
"Auburn, Alabama",,21061,3/2/2021,10,5,6.5,10,1.1,3.8,3.8,84.5,31.41,100,70.83,rain,0,0,37.1,20.4,66.6,1023.2,80.4,13.7,25.1,2.2,1,,2021-03-02 6:08:01,2021-03-02 17:40:23,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KALX,TKGA1,KAUO,72026563833,D7038,72225013829,KLSF,72225593842,72228403892,KCSG,TKSA1"
"Auburn, Alabama",,21062,3/3/2021,17.9,3.9,10,17.9,0.1,8.4,4.2,70.4,5.56,100,16.67,rain,0,0,27.8,18.3,202.7,1020.6,37.6,14.9,208.3,18.1,8,,2021-03-03 6:06:49,2021-03-03 17:41:10,0.61,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"TKGA1,KAUO,72225013829,KLSF,72225593842,TKSA1,72228403892,KCSG"
"Auburn, Alabama",,21063,3/4/2021,22.4,5,13.5,22.4,2.8,12.8,1.6,47.5,0,0,0,,0,0,31.7,20.4,287.3,1021,0,16,224.8,19.4,8,,2021-03-04 6:05:36,2021-03-04 17:41:57,0.67,Clear,Clear conditions throughout the day.,clear-day,"KALX,TKGA1,KAUO,72026563833,72225013829,KLSF,72225593842,AU556,TKSA1,72228403892,KCSG"
"Auburn, Alabama",,21064,3/5/2021,19.4,7.2,13.9,19.4,5.1,13.6,-0.6,38.4,0,0,0,,0,0,25.9,20.3,137.4,1020.5,11.4,16,153,13.3,6,,2021-03-05 6:04:22,2021-03-05 17:42:43,0.72,Clear,Clear conditions throughout the day.,clear-day,"KALX,TKGA1,KAUO,72026563833,72225013829,KLSF,72225593842,AU556,TKSA1,72228403892,KCSG"
