Week,Julian_Day,Date,Time,Habitat.type,Group #,Drift fence,Trap #,Board #,Humid (r.h.),sun *,Temp (deg C),Spiders,Scorpions,beetles,Ants,millipedes,Crickets,Roaches,Isopods,centipedes,snails,Worms,harvestmen,Earwigs,Other Captures,Bucket Flooded? Note Depth,Comments,Class
1,22048,2/17/2022,12:00,Field,1,1,,30,76,2,23.3,0,,0,,0,,,,0,2,,0,,,,,Ecology (Thurs section)
1,22048,2/17/2022,12:00,Field,3,1,,29,75.5,2,23.3,,,,30,,,,,,1,,,,30 ants,,,Ecology (Thurs section)
1,22048,2/17/2022,12:00,Field,2,1,,28,82.4,,23.34,0,,0,,0,,,,0,0,,0,,Ants,,,Ecology (Thurs section)
1,22048,2/17/2022,12:00,Field,,1,,27,,,,,,,,,,,,,,,,,,,,Ecology (Thurs section)
1,22048,2/17/2022,12:00,Field,1,1,,25,81.7,2,23.3,0,,0,,0,,,,0,2,,0,,,,,Ecology (Thurs section)
2,22055,2/24/2022,12:00,Field,1,1,,30,83.1,2,27.2,0,,0,,0,,,,0,0,,0,,,,,Ecology (Thurs section)
2,22055,2/24/2022,12:00,Field,2,1,,29,80.5,2,27.2,0,,0,,0,,,,0,0,,0,,,,,Ecology (Thurs section)
2,22055,2/24/2022,12:00,Field,2,1,,28,80.5,2,27.2,0,,0,,0,,,,0,0,,0,,,,,Ecology (Thurs section)
2,22055,2/24/2022,12:00,Field,3,1,,27,74.2,2,27.2,0,,0,,0,,,,0,0,,0,,,,,Ecology (Thurs section)
2,22055,2/24/2022,12:00,Field,,1,,25,,,,,,,,,,,,,,,,,,,,Ecology (Thurs section)
1,22049,2/18/2022,12:00,Field,1,1,1,,64,3,55,,,,,,,,,,,1,,,"1 slug, earthworm, dead shrew",,,Ecology (Fri section)
1,22049,2/18/2022,12:00,Field,,1,2,,64,3,56,3,,0,,0,,,,0,1,,0,,wolf spirders; unknown (long antenna),,,Ecology (Fri section)
1,22049,2/18/2022,12:00,Field,3,1,3,,64,3,56,1,,0,,0,,,,0,0,,0,,,,,Ecology (Fri section)
1,22049,2/18/2022,12:00,Field,4,1,4,,64,3,56,0,,0,,0,,,,0,0,,0,,2 slugs,,,Ecology (Fri section)
2,22056,2/25/2022,12:00,Field,,1,1,,82,1,16,0,,0,,0,,,,0,1,,0,,ants,,,Ecology (Fri section)
2,22056,2/25/2022,12:00,Field,2,1,2,,82,1,16,2,,1,1,,,,,,,,,,dead wasp,,ground beetle,Ecology (Fri section)
2,22056,2/25/2022,12:00,Field,,1,3,,82,,16,2,,0,,0,,,,0,0,,0,,,,,Ecology (Fri section)
2,22056,2/25/2022,12:00,Field,,1,4,,82,1,16,0,,0,,0,,,,0,1,,0,,,,,Ecology (Fri section)
1,22049,2/18/2022,12:00,Field,,1,,30,52,3,55,0,,0,,0,,,,0,7,,0,,,,,Ecology (Fri section)
1,22049,2/18/2022,12:00,Field,,1,,29,69,3,56,1,,1,,0,,,,0,1,,0,,,,,Ecology (Fri section)
1,22049,2/18/2022,12:00,Field,4,1,,28,78,3,56,0,,0,30,0,,,,0,2,,0,,"2 slugs, 30 ants",,,Ecology (Fri section)
1,22049,2/18/2022,12:00,Field,3,1,,27,83,3,56,0,,0,,0,,,,0,0,,0,,,,,Ecology (Fri section)
1,22049,2/18/2022,12:00,Field,,1,,25,,,,,,,,,,,,,,,,,,,,Ecology (Fri section)
2,22056,2/25/2022,12:00,Field,2,1,,30,100,1,16,,,,,,,,,,2,,,,ants,,,Ecology (Fri section)
2,22056,2/25/2022,12:00,Field,,1,,29,,,,,,,,,,,,,,,,,,,,Ecology (Fri section)
2,22056,2/25/2022,12:00,Field,,1,,28,100,1,16,0,,0,,0,,,,0,0,,0,,ants,,,Ecology (Fri section)
2,22056,2/25/2022,12:00,Field,,1,,27,100,1,16,0,,0,,0,,,,0,1,,0,,,,,Ecology (Fri section)
2,22056,2/25/2022,12:00,Field,,1,,25,90,,16,,,,,,,,,,4,,,,,,,Ecology (Fri section)
1,22174,6/23/2022,9:00,Field,,1,1,,,,,,,1,10+,,,,,,,,,,,,,STEER
1,22174,6/23/2022,9:00,Field,,1,3,,,,,,,,,1,,,,,,,,,,,,STEER
1,22174,6/23/2022,9:00,Field,,1,2,,,,,,,,,,,,,,,,,,,,,STEER
1,22174,6/23/2022,9:00,Field,,1,4,,,,,,,3,5,,1,,,,,,,,3 hemipteran,,,STEER
2,22178,6/27/2022,9:00,Field,,1,1,,,,,,,,4,,1,,,1,,,,,,,,STEER
2,22178,6/27/2022,9:00,Field,,1,2,,,,,1,,,,,,,,,,,,,,,,STEER
2,22178,6/27/2022,9:00,Field,,1,3,,,,,,,,,,,,,1,,,,,,,,STEER
2,22178,6/27/2022,9:00,Field,,1,4,,,,,,,,4,,,,,,,,,,,,,STEER
2,22179,6/28/2022,9:00,Field,,1,1,,,,,,,1,,1,1,,,,,,,,2 assasin bugs,,,STEER
2,22179,6/28/2022,9:00,Field,,1,2,,,,,1,,,,,,,,,,,,,,,,STEER
2,22179,6/28/2022,9:00,Field,,1,3,,,,,,,,,2,,,,,,,,,,,,STEER
2,22179,6/28/2022,9:00,Field,,1,4,,,,,,,,,,1,,,,,,,,"2 assasin bugs, 2 stick insects",,,STEER
2,22180,6/29/2022,9:00,Field,,1,1,,,,,,,,,,,,,,,,,,,,full of water,STEER
2,22180,6/29/2022,9:00,Field,,1,2,,,,,,,,,,,,,,,,,,,,,STEER
2,22180,6/29/2022,9:00,Field,,1,3,,,,,,,,,,,,,,,,,,,,,STEER
2,22180,6/29/2022,9:00,Field,,1,4,,,,,,,,10+,,,,,,,,,,,,,STEER
2,22181,6/30/2022,9:00,Field,,1,1,,,,,,,,,,2,,,,,,,,,,,STEER
2,22181,6/30/2022,9:00,Field,,1,2,,,,,1,,,,,,,,,,,,,,,,STEER
2,22181,6/30/2022,9:00,Field,,1,3,,,,,,,,,,,,,,,,,,1 assasin bug,,,STEER
2,22181,6/30/2022,9:00,Field,,1,4,,,,,,,2,,,,,,,,,,,,,,STEER
1,22241,8-29-22,,Field,4,1,4,,74,2,31.6,0,0,1,200,0,0,0,0,0,0,0,0,0,,,,Ecology (Mon Section)
1,22241,8-29-22,,Field,4,1,,27,72.4,2,31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,caterpillar,,,Ecology (Mon Section)
1,22241,8-29-22,,Field,2,1,2,,73.2,2,30.2,0,0,1,0,0,1,0,2,5,0,0,1,0,Darkling Beetle Larvae,,,Ecology (Mon Section)
1,22241,8-29-22,,Field,2,1,,10,83.5,2,29.6,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,Ecology (Mon Section)
1,22241,8-29-22,,Field,3,1,3,,74.1,2,32.1,0,0,1,1,0,0,0,0,0,3,0,0,0,,,,Ecology (Mon Section)
1,22241,8-29-22,,Field,3,1,,30,92.1,2,32.1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,Ecology (Mon Section)
,22243,8-31-22,,Field,1,1,1,,42.4,3,34.6,,,,100,,,,,,,,,,,,,Ecology
,22243,8-31-22,,Field,1,1,,29,62.4,3,34.6,1,,2,25,,,,,,,,,,,,,Ecology
,22243,8-31-22,,Field,2,1,2,,42.2,3,34.6,1,,,,,,,,,1,,,,,,No tree shade,Ecology
,22243,8-31-22,,Field,2,1,,25,45.6,3,34.6,,,,,,,,,,,,,,,,No tree shade,Ecology
,22243,8-31-22,,Field,3,1,3,,42.2,3,34.6,1,,,1,,,,,,4,,,,1 Grasshopper,,,Ecology
,22243,8-31-22,,Field,3,1,,28,63.1,3,34.6,1,,,30,,,,,,,,,,,,,Ecology
,22243,8-31-22,,Field,4,1,4,,42.2,3,34.6,,1,,50,3,,,,,,,,,,,,Ecology
,22243,8-31-22,,Field,4,1,,30,62.9,3,,,,,1,,,,,,,,,,,,,Ecology
09/19,22262,09/19/22,12:00,Field,1,1,1,,49.5,,,,,1,,,,,,,,,,,grasshopper,n/a,crack in bucket,Ecology
,22262,09/19/22,12:00,Field,1,1,,28,,,,,,,5,,,,,,,,,,,,,Ecology
09/19,22262,09/19/22,12:30,Field,2,1,2,,47.9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Ecology
,22262,09/19/22,12:30,Field,2,1,,13,52.1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Ecology
09/19,22262,09/19/22,12:30,Field,3,1,3,,49.7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Ecology
,22262,09/19/22,12:30,Field,3,1,,25,,,,0,0,1,100,0,0,0,0,0,0,1,1,0,,,,Ecology
09/19,22262,09/19/22,12:30,Field,4,1,4,,49.7,,,0,1,0,5,0,0,0,0,0,3,0,0,0,,,,Ecology
,22262,09/19/22,12:30,Field,4,1,,28,,,,0,0,0,50,0,0,0,0,0,0,0,0,0,,,antbed under board,Ecology
9/19,22263,09/20/22,12:00,Field,1,1,1,,66.2,1,30.2,0,0,0,400,0,0,0,0,0,0,0,0,0,,,,Ecology
9/19,22263,9/20/2022,12:00,Field,1,1,,26,81,1,30.2,0,0,0,50,0,0,0,0,0,0,0,0,0,,,,Ecology
9/19,22263,9/20/2022,12:00,Field,2,1,2,,66.2,3,30.2,0,0,0,100,0,0,0,0,0,0,0,0,0,dead frog,,,Ecology
9/19,22263,9/20/2022,12:00,Field,2,1,,28,77.5,3,30.2,0,0,0,20,0,0,0,0,0,0,0,0,0,,,,Ecology
9/19,22263,9/20/2022,12:00,Field,3,1,3,,66.2,3,30.2,0,0,1,500,0,0,0,0,0,2,4,0,0,,,,Ecology
9/19,22263,9/20/2022,12:00,Field,3,1,,25,83,3,30.2,0,0,0,20,0,0,0,0,0,0,0,0,0,,,,Ecology
9/19,22263,9/20/2022,12:00,Field,4,1,4,,66.2,3,30.2,0,0,0,10,0,0,0,0,0,0,0,0,0,,,,Ecology
9/19,22263,9/20/2022,12:00,Field,4,1,,27,83.2,3,30.2,0,0,0,100,0,0,0,0,0,1,2,0,0,,,,Ecology
9/19,22264,9/21/2022,12:30,Field,1,1,1,,81.5,2,32.5,1,0,1,45,0,0,0,0,0,2,0,0,0,,,,Ecology
9/19,22264,9/21/2022,12:30,Field,1,1,,25,66.7,2,32.5,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,Ecology
9/19,22264,9/21/2022,12:30,Field,2,1,2,,51.5,3,32.5,0,0,0,2,0,1,0,0,0,1,0,0,0,,,,Ecology
9/19,22264,9/21/2022,12:30,Field,2,1,,28,88.7,3,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Ecology
9/19,22264,9/21/2022,12:30,Field,3,1,3,,51.5,2,32.5,0,0,1,100,0,0,0,0,0,0,0,0,0,,,,Ecology
9/19,22264,9/21/2022,12:30,Field,3,1,,,87.1,2,32.5,1,0,0,50,0,0,0,0,0,0,0,0,0,,Board Cover # not listed,,Ecology
9/19,22264,9/21/2022,12:30,Field,4,1,4,,51.5,3,32.5,0,0,0,500,0,0,0,0,0,1,0,0,0,,,,Ecology
9/19,22264,9/21/2022,12:30,Field,4,1,,27,85,3,32.5,0,0,0,30,0,0,0,0,0,0,0,0,0,,,,Ecology
9/19,22265,9/22/2022,12:30,Field,1,1,1,,45.2,3,36.8,,,,5,,,,,,,,,,unidentified organism,,,Ecology
9/19,22265,9/22/2022,12:30,Field,1,1,,30,56,3,36.8,,,,,,,,,,,,,,,,,Ecology
9/19,22265,9/22/2022,12:30,Field,2,1,2,,45.2,3,36.8,,,,,,,,,,,,,,,,,Ecology
9/19,22265,9/22/2022,12:30,Field,2,1,,25,59.8,3,36.8,,,,,,,,,,,,,,,,,Ecology
9/19,22265,9/22/2022,12:30,Field,3,1,3,,45.2,3,36.8,,,,100,,,,,,3,,,,,,,Ecology
9/19,22265,9/22/2022,12:30,Field,3,1,,29,75.5,3,36.8,,,,40,,,,,,,,,,,,,Ecology
9/19,22265,9/22/2022,12:30,Field,4,1,4,,45.2,3,36.8,,1,1,7,,,,,,,,,,,,,Ecology
9/19,22265,9/22/2022,12:30,Field,4,1,,,61.4,3,36.8,,,,,,,,,,,,,,,,,Ecology
,22244,09/01/2022,,Field,1,1,1,,43.1,,35.1,,,1,100,,,,,,,1,,,,,,Ecology
,22244,09/01/2022,,Field,1,1,,30,40,,11,,,,20,,,,,,,,,,,,,Ecology
,22244,09/01/2022,13:06,Field,2,1,2,,43.1,2,35.1,,,,1,,,,,,,,,,,,"Black Racer, Praying Mantis ",Ecology
,22244,09/01/2022,,Field,2,1,,29,38.1,2,,,,,,,,,,,,,,,,,,Ecology
,22244,09/01/2022,,Field,3,1,3,,80.3,,36.6,,,1,,,,,,,1,,,,,,,Ecology
,22244,09/01/2022,,Field,4,1,4,,43.1,,35.1,1,1,2,150,,,,,,1,,,,,,,Ecology (Thr 003)
,22244,09/01/2022,,Field,4,1,,27,37.9,,,,,,,,,,,,,,,,,,,Ecology (Thr 003)
,22251,9/8/2022,9:50,Field,,1,1,,,,,1,,1,1,,,,,,,,,,1 beetle larva,,,Vert bio
,22251,9/8/2022,9:50,Field,,1,2,,,,,,,,100+,,1,,,,,,,,,,,Vert bio
,22251,9/8/2022,9:50,Field,,1,3,,,,,,,,,,,,,,,,,,,,,Vert bio
,22251,9/8/2022,9:50,Field,,1,4,,,,,,4,,,,,,,,,2,,,1 assasin bug,,,Vert bio
,22252,9/9/2022,15:15,Field,,1,1,,,,,,,,300+,,,,,,1,1,,,,,Ants eating worm,Vert bio
,22252,9/9/2022,15:15,Field,,1,2,,,,,,,,4,,,,,,1,,,,1 hemipteran,,,Vert bio
,22252,9/9/2022,15:15,Field,,1,3,,,,,,,,10,,,,,,,,,,,,,Vert bio
,22252,9/9/2022,15:15,Field,,1,4,,,,,,1,,10,,,,,,,,,,,,,Vert bio
,22259,9/16/2022,15:20,Field,,1,1,,,,,1,,,lots,,,,,,1,1,,,,,,Vert bio
,22259,9/16/2022,15:20,Field,,1,2,,,,,,,,1,,,,,,,,,,,,,Vert bio
,22259,9/16/2022,15:20,Field,,1,3,,,,,,,,2,,1,,,1,4,,,,,,,Vert bio
,22259,9/16/2022,15:20,Field,,1,4,,,,,,,,lots,,,,,,2,2,,,,,,Vert bio
,22260,9/17/2022,9:14,Field,,1,1,,,,,,,,300+,,,,,,,3,,,worms were eaten by ants,,,Vert bio
,22260,9/17/2022,9:14,Field,,1,2,,,,,,,,2,,,,,,,,1,,,,,Vert bio
,22260,9/17/2022,9:14,Field,,1,3,,,,,,,,300+,,,,,,3,1,,,worms were eaten by ants,,,Vert bio
,22260,9/17/2022,9:14,Field,,1,4,,,,,,,,300+,,,,,,2,2,,,worms were eaten by ants,,,Vert bio
,22272,9/29/2022,9:20,Field,,1,1,,,,,2,,4,200+,,,,,,,2,1,,,,,Vert bio
,22272,9/29/2022,9:20,Field,,1,2,,,,,,,,,,,,,,3,,1,,,,,Vert bio
,22272,9/29/2022,9:20,Field,,1,3,,,,,,,1,200+,,,,,,2,1,,,,,,Vert bio
,22272,9/29/2022,9:20,Field,,1,4,,,,,,,2,20,,,,,,1,,1,,,,,Vert bio
,22273,9/30/2022,15:00,Field,,1,1,,,,,,,,100+,,,,,,,1,,,,,,Vert bio
,22273,9/30/2022,15:00,Field,,1,2,,,,,,,,,,1,,,,,,,,,,,Vert bio
,22273,9/30/2022,15:00,Field,,1,3,,,,,,,,100+,,,,,,3,,,,,,,Vert bio
,22273,9/30/2022,15:00,Field,,1,4,,,,,,,,50+,,,,,,,,,,,,,Vert bio
,22274,10/1/2022,8:47,Field,,1,1,,,,,,,,100+,,,,,,,,,,,,,
,22274,10/1/2022,8:47,Field,,1,2,,,,,,,,,,,,,,,,,,,,,
,22274,10/1/2022,8:47,Field,,1,3,,,,,,,1,200+,,,,,,1,2,,,,,Worms were dead,
,22274,10/1/2022,8:47,Field,,1,4,,,,,,,,100+,,,,,,,,,,,,,
,22275,10/2/2022,,Field,,1,4,,,,,,,1,10+,,,,,,,,,,,,,
,22275,10/2/2022,,Field,,1,2,,,,,,,,10+,,,,,,,,,,,,,
,22275,10/2/2022,,Field,,1,3,,,,,,,,10+,,,,,,,,,,,,,
,22275,10/2/2022,,Field,,1,1,,,,,,,,10+,,,,,,,,,,,,,
,22286,10/13/2022,9:45,Field,,1,1,,,,,,,,200+,,1,,,,,,,,,,,Vert bio
,22286,10/13/2022,9:45,Field,,1,2,,,,,,,,200+,,1,,,,,,,,,,,Vert bio
