EntryOrder,Date,Julian day,Day,Month,Year,Season,Time,AM or PM,Genus,Species,Class,Order,Group,Drift fence,PitTrap #,Board #,Habitat type,Location/habitat description,Sex,Body Length (mm),Tail Length (mm),Mass (g),Age,Air temp,Humidity,Clouds,Comments,Participants,Class
76,9/13/21,21256,13,September,2021,Autumn,10:56,AM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Edge,Tree in main parking lot,Female,,,,,,,,"captured, not measured","Dan Warner, Chris Norris, Kerry Cobb, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
77,9/13/21,21256,13,September,2021,Autumn,10:56,AM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Edge,Tree in main parking lot,,,,,,,,,Not captured,"Dan Warner, Chris Norris, Kerry Cobb, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
75,9/13/21,21256,13,September,2021,Autumn,10:53,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Forest,Forest near playground,,,,,Juvenile,,,,Not captured,"Dan Warner, Chris Norris, Kerry Cobb, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
79,9/16/21,21259,16,September,2021,Autumn,11:34,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,basking on bench by the ampitheatre near pond,Female,28,36,0.58,,,,,,"Dan Warner, Angela Jaimes",Vert Bio
80,9/16/21,21259,16,September,2021,Autumn,11:34,AM,Virginia,valeriae,Reptile,Squamate,Snake,,,,Edge,Under bench by the ampitheatre near pond,Female,125,17,1.91,,,,,,"Dan Warner, Angela Jaimes",Vert Bio
85,9/16/21,21259,16,September,2021,Autumn,12:10,PM,Gastrophryne,carolinensis,Amphibian,Anura,Frog,6,4,,Forest,,,29,,1.94,,,,,,"Dan Warner, Angela Jaimes",Vert Bio
81,9/16/21,21259,16,September,2021,Autumn,11:45,AM,Blarina,sp,Mammal,Insectivora,Shrew,4,2,,Forest,,,82,,,,,,,,"Dan Warner, Angela Jaimes",Vert Bio
82,9/16/21,21259,16,September,2021,Autumn,11:45,AM,Blarina,sp,Mammal,Insectivora,Shrew,4,3,,Forest,,,74,,,,,,,,"Dan Warner, Angela Jaimes",Vert Bio
78,9/16/21,21259,16,September,2021,Autumn,11:25,AM,Blarina,sp,Mammal,Insectivora,Shrew,2,2,,Open,grassland/powerline,,51,,,,24.8,92,,windspeed = 0,"Dan Warner, Angela Jaimes",Vert Bio
83,9/16/21,21259,16,September,2021,Autumn,11:57,AM,Lithobates,clamitans,Amphibian,Anura,Frog,5,1,,Stream,,,28,,1.05,,,,,,"Dan Warner, Angela Jaimes",Vert Bio
84,9/16/21,21259,16,September,2021,Autumn,11:57,AM,Eurycea,cirrigera,Amphibian,Caudata,Salamander,5,4,,Stream,,,29,33,0.39,,,,,,"Dan Warner, Angela Jaimes",Vert Bio
93,9/20/21,21263,20,September,2021,Autumn,10:18,AM,Anaxyrus,fowleri,Amphibian,Anura,Toad,,,,Edge,under rock on trail between pond and ampitheatre,,48,,6.75,,,,,,"Dan Warner, Chris Norris, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
94,9/20/21,21263,20,September,2021,Autumn,10:18,AM,Lithobates,clamitans,Amphibian,Anura,Frog,,,,Edge,under rock on trail between pond and ampitheatre,,30,,3.32,,,,,,"Dan Warner, Chris Norris, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
95,9/20/21,21263,20,September,2021,Autumn,10:23,AM,Diadophis,punctatus,Reptile,Squamate,Snake,,,,Edge,under rock on trail between pond and ampitheatre,,196,55,3.87,,,,,,"Dan Warner, Chris Norris, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
96,9/20/21,21263,20,September,2021,Autumn,10:23,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,under rock on trail between pond and ampitheatre,,38,10,1.67,,,,,accidentally broke tail,"Dan Warner, Chris Norris, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
97,9/20/21,21263,20,September,2021,Autumn,10:21,AM,Scincella,lateralis,Reptile,Squamate,Lizard,,,,Edge,Under bence by ampitheatre,,20,28,0.9,,,,,,"Dan Warner, Chris Norris, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
98,9/20/21,21263,20,September,2021,Autumn,10:25,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,By fire pit by ampitheatre,,,,,Juvenile,,,,Observed,"Dan Warner, Chris Norris, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
99,9/20/21,21263,20,September,2021,Autumn,10:25,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,By fire pit by ampitheatre,,,,,Juvenile,,,,Observed,"Dan Warner, Chris Norris, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
100,9/20/21,21263,20,September,2021,Autumn,10:35,AM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Edge,In open short grass on ground by homestead,,33,55,0.58,,,,,,"Dan Warner, Chris Norris, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
101,9/20/21,21263,20,September,2021,Autumn,10:40,AM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Edge,Compost pile by homestead,,32,57,0.6,,,,,,"Dan Warner, Chris Norris, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
102,9/20/21,21263,20,September,2021,Autumn,10:40,AM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Edge,Compost pile by homestead,,,,,,,,,Observed,"Dan Warner, Chris Norris, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
104,9/20/21,21263,20,September,2021,Autumn,10:55,AM,Acris,sp,Amphibian,Anura,Frog,,,,Forest,on forest path by fence #6,,,,,,,,,Observed,"Dan Warner, Chris Norris, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
103,9/20/21,21263,20,September,2021,Autumn,10:50,AM,Scincella,lateralis,Reptile,Squamate,Lizard,,,,Forest,on forest path between homestead and the pond,,24,39,0.23,,,,,,"Dan Warner, Chris Norris, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
87,9/20/21,21263,20,September,2021,Autumn,9:45,AM,Blarina,sp,Mammal,Insectivora,Shrew,,,29,Open,Under cover board in powerline area,,,,,,,,,Did not positively identify before it escaped,"Dan Warner, Chris Norris, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
89,9/20/21,21263,20,September,2021,Autumn,10:00,AM,Blarina,sp,Mammal,Insectivora,Shrew,2,4,,Open,,,,,,,,,,,"Dan Warner, Chris Norris, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
86,9/20/21,21263,20,September,2021,Autumn,9:45,AM,Diadophis,punctatus,Reptile,Squamate,Snake,,,,Open,"Under log by fence #1, trap #1",Female,247,45,6.93,,25.2,88.4,,Windspeed = 0,"Dan Warner, Chris Norris, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
88,9/20/21,21263,20,September,2021,Autumn,9:45,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Open,"On log by fence #1, trap #1",,,,,,,,,,"Dan Warner, Chris Norris, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
90,9/20/21,21263,20,September,2021,Autumn,10:05,AM,Acris,sp,Amphibian,Anura,Frog,,,,Stream,Hopping along creek near waterfall,,,,,,,,,Observed,"Dan Warner, Chris Norris, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
92,9/20/21,21263,20,September,2021,Autumn,10:09,AM,Eurycea,cirrigera,Amphibian,Caudata,Salamander,3,4,,Stream,,,36,42,0.87,,,,,,"Dan Warner, Chris Norris, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
91,9/20/21,21263,20,September,2021,Autumn,10:09,AM,Blarina,sp,Mammal,Insectivora,Shrew,3,2,,Stream,,,,,,,,,,,"Dan Warner, Chris Norris, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
106,9/23/21,21266,23,September,2021,Autumn,12:08,PM,Scincella,lateralis,Reptile,Squamate,Lizard,,,28,Open,,,,,,,,,,not captured,,Vert Bio
107,9/23/21,21266,23,September,2021,Autumn,12:10,PM,Scincella,lateralis,Reptile,Squamate,Lizard,1,1,,Open,,,45,24,1,,,,,broken tail,,Vert Bio
105,9/23/21,21266,23,September,2021,Autumn,11:00,AM,,,,,,,,,,,,,,,,19.4,59,,,"Angela, Sullivan, Kerry",Vert Bio
109,9/27/21,21270,27,September,2021,Autumn,9:36,AM,Anaxyrus,fowleri,Amphibian,Anura,Toad,,,,Edge,path to ampitheater,,27,,1.02,,,,,,,Vert Bio
112,9/27/21,21270,27,September,2021,Autumn,10:44,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Forest,"near fence #6, back of tree",,,,,,,,,,,Vert Bio
110,9/27/2021,21270,27,September,2021,Autumn,10:17,AM,Plethodon,glutinosus,Amphibian,Caudata,Salamander,,,13,Stream,,,55,18,2.47,,,,,Regnerating tail,,Vert Bio
108,9/27/2021,21270,27,September,2021,Autumn,9:52,AM,Scincella,lateralis,Reptile,Squamate,Lizard,,,,Stream,near fence #6,,,,,,23.8,78,,,"Morgan, Powell, Sullivan, Camille",Vert Bio
111,9/27/21,21270,27,September,2021,Autumn,10:28,AM,Pantherophis,spiloides,Reptile,Squamate,Snake,,,,,In leaves near path,Female,106.5,23.3,,,,,,,,Vert Bio
116,9/28/21,21271,28,September,2021,Autumn,5:41,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,On rock by pond and ampitheatre,Male,30,39,0.83,,,,,,,Vert Bio
117,9/28/21,21271,28,September,2021,Autumn,5:44,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,On rock at the firepit by ampitheatre,Female,27,9,0.67,,,,,,,Vert Bio
118,9/28/21,21271,28,September,2021,Autumn,6:05,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,6,2,,Forest,,Female,36,47,1.47,,,,,,,Vert Bio
113,9/28/21,21271,28,September,2021,Autumn,5:20,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Open,"On log near fence #1, trap #1",Female,34,44,1.2,,24.5,72,,wind = 0 mph,"Dan Warner, Chris Norris, Olivia Kramer, Alyson Mann, Brenyn Kelly, Kaitlin Watson, Krystin Sims",Vert Bio
114,9/28/21,21271,28,September,2021,Autumn,5:29,PM,Lithobates,sphenocephalus,Amphibian,Anura,Frog,,,,Stream,"Near coverboard #19, by waterfall",,,,,,,,,"observed, did not capture",,Vert Bio
115,9/28/21,21271,28,September,2021,Autumn,5:31,PM,Virginia,valeriae,Reptile,Squamate,Snake,,,35,Stream,,,171,36,3.1,,,,,,,Vert Bio
119,9/30/21,21273,30,September,2021,Autumn,11:34,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,Next to pond,Male,,,,,24.9,74.7,,,"Kerry, Matt, Lindsey",Vert Bio
120,9/30/21,21273,30,September,2021,Autumn,11:34,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,Fire pit,,,,,,,,,,,Vert Bio
121,9/30/21,21273,30,September,2021,Autumn,11:34,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,Fire pit,,,,,,,,,,,Vert Bio
122,9/30/21,21273,30,September,2021,Autumn,11:36,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,Shelter by pond,,,,,,,,,,,Vert Bio
123,9/30/21,21273,30,September,2021,Autumn,11:43,AM,Plestiodon,sp,Reptile,Squamate,Lizard,,,,Edge,on barn by garden,,,,,,,,,,,Vert Bio
124,9/30/21,21273,30,September,2021,Autumn,12:02,PM,Gastrophryne,carolinensis,Amphibian,Anura,Frog,6,2,,Forest,,,19,,0.75,,,,,,,Vert Bio
125,9/30/21,21273,30,September,2021,Autumn,11:10,AM,Blarina,sp,Mammal,Insectivora,Shrew,2,2,,Open,,,,,,,,,,,,Vert Bio
126,10/2/21,21275,2,October,2021,Autumn,8:32,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,Cinder block pile near new shelter by amphitheatre,Male,72,105,14.31,,24.1,80.8,,wind = 0mph,"Dan Warner, Alexa Hightower, Olivia Kramer, Cameryn C, Hanna F, Sydney F",Vert Bio
127,10/2/21,21275,2,October,2021,Autumn,8:36,AM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Edge,Cinder block pile near new shelter by amphitheatre,Female,50,92,2.65,,,,,,,Vert Bio
130,10/2/21,21275,2,October,2021,Autumn,9:07,AM,Gastrophryne,carolinensis,Amphibian,Anura,Frog,,,49,Forest,,,21,,0.79,,,,,,,Vert Bio
128,10/2/21,21275,2,October,2021,Autumn,8:58,AM,Eurycea,guttolineata,Amphibian,Caudata,Salamander,,,,Stream,Under rock by fence #5 near stream,,38,25,0.85,,,,,Broken tail,,Vert Bio
129,10/2/21,21275,2,October,2021,Autumn,8:58,AM,Eurycea,guttolineata,Amphibian,Caudata,Salamander,,,,Stream,Under rock by fence #5 near stream,,35,54,0.87,,,,,,,Vert Bio
135,10/4/21,21277,4,October,2021,Autumn,10:39,AM,Blarina,sp,Mammal,Insectivora,Shrew,4,2,,Forest,,,,,,,,,,"dead in water-filled bucket, adult",,Vert Bio
132,10/4/21,21277,4,October,2021,Autumn,10:08,AM,Cardinalis,cardinalis,Aves,,Bird,,,,Open,on edge of woods,,,,,,,,,,,Vert Bio
131,10/4/21,21277,4,October,2021,Autumn,9:54,AM,Peromyscus,sp,Mammal,Rodentia,Mouse,2,3,,Open,,,,,7.71,,,,,Was wet in the bucket,"Morgan, Mary Graf Ethridge",Vert Bio
133,10/4/21,21277,4,October,2021,Autumn,10:17,AM,Eurycea,cirrigera,Amphibian,Caudata,Salamander,3,3,,Stream,,,33,39,0.62,,,,,,,Vert Bio
134,10/4/21,21277,4,October,2021,Autumn,10:15,AM,Acris,sp,Amphibian,Anura,Frog,,,,Stream,next to water,,,,,,,,,,,Vert Bio
136,10/4/21,21277,4,October,2021,Autumn,10:47,AM,Eurycea,cirrigera,Amphibian,Caudata,Salamander,5,4,,Stream,,,40,65,1.22,,,,,,,Vert Bio
137,10/4/21,21277,4,October,2021,Autumn,10:47,AM,Eurycea,cirrigera,Amphibian,Caudata,Salamander,5,4,,Stream,,,39,59,1.25,,,,,,,Vert Bio
138,10/4/21,21277,4,October,2021,Autumn,10:47,AM,Eurycea,cirrigera,Amphibian,Caudata,Salamander,5,4,,Stream,,,39,62,1.43,,,,,yellow underside at tail,,Vert Bio
139,10/4/21,21277,4,October,2021,Autumn,11:00,AM,Pseudotriton,ruber,Amphibian,Caudata,Salamander,5,4,,Stream,,,75,42,3.81,,,,,laterally compressed tail,,Vert Bio
140,10/7/21,21280,7,October,2021,Autumn,11:00,AM,,,,,,,,,,,,,,,,,,,,Kerry,Vert Bio
